city;country;population
Pattaya;Thailand;119532
Na Di;Thailand;0
Ban Khok;Thailand;0
Bueng Na Rang;Thailand;4948
Bang Klam;Thailand;0
Lat Krabang;Thailand;0
Wang Thonglang;Thailand;0
Prachamtakham;Thailand;0
Si Somdet;Thailand;0
Ayní;Tajikistan;2128
Gleno;Timor-Leste;8133
Seydi;Turkmenistan;17762
Zaouiat Djedidi;Tunisia;7862
Chorbane;Tunisia;5710
Sejenane;Tunisia;5718
Ksour Essaf;Tunisia;36274
Ksar Hellal;Tunisia;49376
Maktar;Tunisia;14500
El Haouaria;Tunisia;9273
Haveluloto;Tonga;3417
Yarpuzlu;Turkey;0
Yakapınar;Turkey;0
Tepealtı;Turkey;1333
Taşlı;Turkey;1029
Şuhut;Turkey;13842
Söke;Turkey;68230
Selendi;Turkey;8735
Sarısu;Turkey;0
Patnos;Turkey;87451
Kırıkhan;Turkey;60916
Karpuzlu;Turkey;2166
Karakoçan;Turkey;29735
İslahiye;Turkey;0
İskenderun;Turkey;159965
İmamoğlu;Turkey;31916
Hisarcık;Turkey;0
Hekimdağ;Turkey;0
Hatip;Turkey;0
Hasançelebi;Turkey;0
Harran;Turkey;13640
Harput;Turkey;0
Hamzalı;Turkey;0
Güroymak;Turkey;25826
Gönen;Turkey;14137
Gölhisar;Turkey;12721
Gölcük;Turkey;0
Göksu;Turkey;0
Gökçen;Turkey;2499
Gelinkaya;Turkey;6470
Evrenseki;Turkey;2615
Ermenek;Turkey;16986
Elmadağ;Turkey;25394
Ekinözü;Turkey;6298
Üçpınar;Turkey;0
Edremit;Turkey;40777
Dörtyol;Turkey;56513
Dombay;Turkey;0
Diyarbakır;Turkey;1791373
Davulga;Turkey;0
Dağbaşı;Turkey;0
Cizre;Turkey;80992
Ceylanpınar;Turkey;31488
Çelebi;Turkey;0
Çaylar;Turkey;0
Çamlıyayla;Turkey;0
Bucakkışla;Turkey;0
Bozoğlak;Turkey;0
Bademli;Turkey;2856
Gerger;Turkey;0
Akdağmadeni;Turkey;23048
Akçadağ;Turkey;14788
Dozza;Italy;1142
Dimaro;Italy;1196
Cuglieri;Italy;2141
Crova;Italy;370
Crognaleto;Italy;28
Crespina;Italy;592
Correggio;Italy;15571
Corgeno;Italy;1315
Cordignano;Italy;4974
Corbetta;Italy;13801
Corana;Italy;353
Consandolo;Italy;1992
Condove;Italy;4057
Comiziano;Italy;765
Civitaquana;Italy;450
Civitaluparella;Italy;302
Gionghi-Cappella;Italy;483
Chienes;Italy;688
Champdepraz;Italy;100
Cerasolo;Italy;1309
Cellole;Italy;5765
Celle di San Vito;Italy;176
Celle Ligure;Italy;4510
Castino;Italy;208
Castel Sant'Angelo;Italy;480
Castel Ritaldi;Italy;569
Castellina in Chianti;Italy;1365
Castel Fusano;Italy;1623
Castelfranco di Sotto;Italy;8291
Castel del Piano;Italy;3507
Caselette;Italy;2875
Casazza;Italy;3989
Casalpusterlengo;Italy;12674
Casalmoro;Italy;1959
Casali;Italy;209
Casale sul Sile;Italy;7951
Casalborgone;Italy;921
Carpasio;Italy;135
Carassai;Italy;587
Caprarola;Italy;4083
Camporosso;Italy;4295
Campi Bisenzio;Italy;32871
Calendasco;Italy;781
Busca;Italy;5588
Brusasco;Italy;1161
Bresso;Italy;25712
Bovolone;Italy;14036
Bosisio Parini;Italy;3223
Boscotrecase;Italy;10331
Borgo Sabotino-Foce Verde;Italy;2045
Borghi;Italy;433
Bolognola;Italy;140
Bergantino;Italy;2065
Bergamo;Italy;121200
Bereguardo;Italy;2146
Belluno;Italy;25064
Basiliano;Italy;4894
Banzi;Italy;1381
Badia Calavena;Italy;1678
Aulla;Italy;4321
Arienzo;Italy;5333
Arezzo;Italy;100734
Ardara;Italy;611
Arcore;Italy;16690
Alezio;Italy;5397
Albino;Italy;13263
Ala;Italy;5331
Airasca;Italy;3583
Agerola;Italy;7348
Acquanegra sul Chiese;Italy;2327
San Vito al Torre;Italy;1083
Pero;Italy;1104
Bressa;Italy;1239
Colugna;Italy;2346
Vacchereccia;Italy;1049
Santena;Italy;10437
Carezzano Maggiore;Italy;173
Coniolo Bricco;Italy;314
Champorcher;Italy;423
Introd;Italy;550
Gironico al Piano;Italy;1760
Nobile-Monguzzo;Italy;2092
Pellio Intelvi;Italy;999
Spinone al Lago;Italy;947
Segonzano;Italy;773
Frazione Chiesa;Italy;43
Saint-Nicolas;Italy;313
Cavaso del Tomba;Italy;2675
Valledoria;Italy;3713
Colle Brianza;Italy;1464
Jonadi;Italy;1753
San Martino Alfieri;Italy;306
Francavilla Bisio;Italy;466
Piovera;Italy;767
Jerago Con Orago;Italy;4910
Corrido;Italy;810
Albosaggia;Italy;191
San Vittore Olona;Italy;8225
Derovere;Italy;109
Malagnino;Italy;858
Pove del Grappa;Italy;3044
Castelnovo Bariano;Italy;1234
Villamiroglio;Italy;47
Buguggiate;Italy;3092
Germignaga;Italy;3697
Carugo;Italy;5466
Montagna in Valtellina;Italy;1973
Niardo;Italy;1274
Zone;Italy;867
Mariana Mantovana;Italy;657
Bondo;Italy;677
Carzano;Italy;397
Chiusa di San Michele;Italy;1631
Villa Sant'Angelo;Italy;372
Belcastro;Italy;1155
Furnari;Italy;1946
Magnano;Italy;140
Pieve Fissiraga;Italy;1133
Perosa Canavese;Italy;484
Strambinello;Italy;214
Vocca;Italy;52
Sale San Giovanni;Italy;34
Gremiasco;Italy;111
Loreglia;Italy;130
Valda;Italy;214
San Pietro in Cerro;Italy;254
Carinaro;Italy;6875
Piana di Monte Verna;Italy;1386
Roccabascerana;Italy;534
Gagliato;Italy;437
Castelletto Cervo;Italy;216
Ponderano;Italy;3622
Caselle Landi;Italy;1027
Blello;Italy;7
Onore;Italy;756
Cecima;Italy;96
Cigliè;Italy;50
La California;Italy;1090
Cazzago-Ex Polo;Italy;4226
Marina di Cerveteri;Italy;7720
Cerbara;Italy;1955
Tre Fontane;Italy;1263
San Vigilio;Italy;1446
Spicchio-Sovigliana;Italy;8249
Canalicchio;Italy;7329
Pontasserchio;Italy;6132
Piazza del Galdo-Sant'Angelo;Italy;5742
Solarolo;Italy;3614
Garino;Italy;3600
Villa d'Agri;Italy;3595
Carrara-Pontenuovo;Italy;2235
Fabrizio;Italy;2172
Banzano;Italy;2102
Ottava;Italy;1923
Domio;Italy;1860
Sala al Barro;Italy;1850
Brenno Useria;Italy;1808
Dragonea;Italy;1775
Villanova;Italy;1493
Mantegazza;Italy;1479
Monticello di Fara;Italy;1411
Bancali;Italy;1345
Berzantina;Italy;1315
Sant'Antonio;Italy;1224
San Rocco;Italy;1205
Petrosino;Italy;1193
Pradelle;Italy;1143
Ozzano Taro;Italy;1130
Poggio Ellera;Italy;1064
Pugliano;Italy;1039
Piano;Italy;386
Melia;Italy;374
Piccarello;Italy;335
Montariolo;Italy;108
Saint-Rhémy;Italy;8
Borgata Marina;Italy;1022
San Carlo All'Arena;Italy;69094
Scampia;Italy;39060
Farra d'lsonzo;Italy;1709
Southfield;Jamaica;2695
Seaforth;Jamaica;4550
Duncans;Jamaica;1876
Bamboo;Jamaica;4264
Annotto Bay;Jamaica;5504
Tibnah;Jordan;5229
Al Murayghah;Jordan;0
Judita;Jordan;20000
Ḩalāwah;Jordan;5376
Al Quwayrah;Jordan;7372
Al Karāmah;Jordan;9384
Al Jīzah;Jordan;4397
Al Ḩişn;Jordan;0
Russeifa;Jordan;268237
Zentsujichó;Japan;0
Tsu;Japan;163461
Tomioka;Japan;47911
Tanushimarumachi-toyoki;Japan;21156
Tano;Japan;2644
Tamamura;Japan;36367
Takanabe;Japan;20185
Suwa;Japan;48972
Osaka;Japan;2753862
Ōno-hara;Japan;26190
Niihama;Japan;123059
Menuma;Japan;27684
Matsudo;Japan;498575
Kudamatsu;Japan;52772
Kanazawa;Japan;466029
Itami;Japan;197335
Honchō;Japan;644668
Chōfu;Japan;212977
Saijō;Japan;58823
Sukagawa;Japan;68790
Kuroiso;Japan;61230
Kōriyama;Japan;322996
Chiba;Japan;979768
Toyotomi;Japan;4054
Shibetsu;Japan;21744
Sapporo;Japan;1973832
Ōmu;Japan;4596
Ōdate;Japan;64543
Niki;Japan;3874
Kōka;Japan;89619
Miyakojima;Japan;54908
Shimotsuke;Japan;60274
Higashimatsushima;Japan;39098
Kitanagoya;Japan;86068
Hashima;Japan;67909
Motosu;Japan;0
Tagami;Japan;11481
Shikokuchūō;Japan;0
Ōamishirasato;Japan;0
Tanba;Japan;62152
Tōkai;Japan;0
Inagi;Japan;0
Sanyōonoda;Japan;0
Voi;Kenya;45483
Takaungu;Kenya;10760
Eldoret;Kenya;475716
Jalal-Abad;Kyrgyzstan;123239
Nookat;Kyrgyzstan;18228
Thpong;Cambodia;0
Kiri Vongs;Cambodia;0
Basedth;Cambodia;0
Kaoh Soutin;Cambodia;0
Sandan;Cambodia;0
Bakong;Cambodia;0
Teaoraereke Village;Kiribati;3939
Hoani;Comoros;1114
Hajoho;Comoros;2505
Kujang-ŭp;Korea, Dem. People's Rep. of;19522
Hau-ri;Korea, Dem. People's Rep. of;13581
Hahoe-dong;Korea, Dem. People's Rep. of;0
Eisen;Korea, Republic of;56006
Pohang;Korea, Republic of;500000
Mokpo;Korea, Republic of;268402
Gumi;Korea, Republic of;427770
Kimhae;Korea, Republic of;550758
Cheonan;Korea, Republic of;666417
Ilgwang;Korea, Republic of;0
Sanseo;Korea, Republic of;0
Sannae;Korea, Republic of;0
Deokjin;Korea, Republic of;0
Daema;Korea, Republic of;0
North Side;Cayman Islands;1902
Maqat;Kazakhstan;14082
Balykshi;Kazakhstan;19260
Zaysan;Kazakhstan;17600
Zhangaqorghan;Kazakhstan;21339
Ushtobe;Kazakhstan;20492
Talghar;Kazakhstan;42194
Saryshaghan;Kazakhstan;4365
Saryozek;Kazakhstan;13930
Samarskoye;Kazakhstan;0
Novaya Shūl’ba;Kazakhstan;0
Qarabalyq;Kazakhstan;9838
Kokpekty;Kazakhstan;5165
Yereymentau;Kazakhstan;14169
Otegen Batyra;Kazakhstan;18864
Dolinka;Kazakhstan;4543
Marqaköl;Kazakhstan;0
Shubarköl;Kazakhstan;1247
Lamam;Lao People's Dem. Rep.;4463
Attapeu;Lao People's Dem. Rep.;4297
Bhamdoûn el Mhatta;Lebanon;5000
Schellenberg;Liechtenstein;1004
Koggala;Sri Lanka;3000
Katunayaka;Sri Lanka;84643
Hendala;Sri Lanka;56978
Bentota;Sri Lanka;37000
Rokiškis;Lithuania;11765
Ramučiai;Lithuania;2372
Kulautuva;Lithuania;1425
Eišiškės;Lithuania;3416
Justiniškės;Lithuania;31000
Wincrange;Luxembourg;210
Tuntange;Luxembourg;605
Tétange;Luxembourg;2929
Lamadelaine;Luxembourg;2428
Heisdorf;Luxembourg;1586
Hautcharage;Luxembourg;1495
Viļāni;Latvia;3934
Stalbe;Latvia;0
Rūjiena;Latvia;3638
Ozolnieki;Latvia;3400
Kocēni;Latvia;0
Ķekava;Latvia;4600
Kalnciems;Latvia;2548
Jelgava;Latvia;61791
Az Zuwaytīnah;Libyan Arab Jamahiriya;21015
Tarhuna;Libyan Arab Jamahiriya;210697
Tiout;Morocco;0
Sidi Bennour;Morocco;40044
Ouarzazat;Morocco;57245
Karia Ba Mohamed;Morocco;0
Ezzhiliga;Morocco;0
Dar Bouazza;Morocco;0
Dar Chaoui;Morocco;0
Bouarfa;Morocco;28846
Berrechid;Morocco;93954
Aourir;Morocco;0
Amouguer;Morocco;0
Adassil;Morocco;0
Ait Khallouf;Morocco;2109
Fontvieille;Monaco;3602
Hînceşti;Moldova, Republic of;16900
Mananara;Madagascar;41209
Arivonimamo;Madagascar;21982
Alarobia;Madagascar;16000
Namdrik;Marshall Islands;814
Tuin;Macedonia, The former Yugoslav Rep. of;1346
Sopište;Macedonia, The former Yugoslav Rep. of;9460
Novaci;Macedonia, The former Yugoslav Rep. of;2357
Marino;Macedonia, The former Yugoslav Rep. of;2503
Lažani;Macedonia, The former Yugoslav Rep. of;1954
Kamenjane;Macedonia, The former Yugoslav Rep. of;15376
Jegunovce;Macedonia, The former Yugoslav Rep. of;7313
Jankovec;Macedonia, The former Yugoslav Rep. of;1291
Drugovo;Macedonia, The former Yugoslav Rep. of;3149
Delogožda;Macedonia, The former Yugoslav Rep. of;8413
Чучер - Сандево;Macedonia, The former Yugoslav Rep. of;8646
Makedonski Brod;Macedonia, The former Yugoslav Rep. of;5607
Bogovinje;Macedonia, The former Yugoslav Rep. of;15166
Douentza;Mali;8054
Yamethin;Myanmar;59867
Maubin;Myanmar;51542
Uliastay;Mongolia;16265
Havtsal;Mongolia;0
Dzadgay;Mongolia;0
Altraga;Mongolia;0
Altai;Mongolia;17617
Altanbulag;Mongolia;0
Tsagaan-Ovoo;Mongolia;0
Tsagaanders;Mongolia;0
Khujirt;Mongolia;0
Hongor;Mongolia;0
Hajuu-Us;Mongolia;0
Eg-Uur;Mongolia;0
Buyant;Mongolia;0
Bulagtay;Mongolia;0
Bîr Mogreïn;Mauritania;1613
Siġġiewi;Malta;8721
Rose Belle;Mauritius;12619
Rivière des Anguilles;Mauritius;9927
Petite Rivière;Mauritius;5331
Cargados Carajos;Mauritius;63
Phalombe;Malawi;2663
Balaka;Malawi;18902
Esteros;Mexico;2230
Cuauhtémoc;Mexico;5563
Plan de Iguala;Mexico;1596
Yaonahuac;Mexico;4489
Xochitlan Todos Santos;Mexico;5097
Xochitepec;Mexico;19164
Xochistlahuaca;Mexico;4152
Salvador Urbina;Mexico;2555
Santa Rosa Treinta;Mexico;16691
Tonalapa del Sur;Mexico;1041
Tlanchinol;Mexico;5199
Augusta;United States;18471
Caribou;United States;7816
Franklin;United States;1424
Friendship;United States;1252
Houlton;United States;5002
Saint George;United States;2682
Wells Beach Station;United States;10162
Buchanan;United States;4362
Detroit Beach;United States;2087
Eagle River;United States;71
Elk Rapids;United States;1615
Fremont;United States;4036
Gaylord;United States;3660
Greilickville;United States;1530
Hamtramck;United States;22002
Hastings;United States;7284
Lakeview;United States;1115
Lathrup Village;United States;4135
Mio;United States;1826
Mount Clemens;United States;16400
Quinnesec;United States;1191
Richmond;United States;5864
Twin Lake;United States;1720
Walker;United States;24647
Cottage Grove;United States;35918
East Gull Lake;United States;1011
Eden Prairie;United States;63496
Falcon Heights;United States;5571
Jordan;United States;6076
Little Rock;United States;1208
Maple Plain;United States;1785
Medford;United States;1249
New Ulm;United States;13327
Park Rapids;United States;3947
Pine Island;United States;3337
Saint Francis;United States;7218
Saint Augusta;United States;3317
Waseca;United States;9241
Windom;United States;4550
Rock Port;United States;1232
Ellendale;United States;1299
Fargo;United States;118523
Battle Creek;United States;1193
Macy;United States;1023
Red Cloud;United States;963
Waverly;United States;3739
Andover;United States;2246
Brentwood;United States;3405
Bridgewater;United States;1037
Epsom;United States;4590
Fitzwilliam;United States;2280
Hudson;United States;7336
Madison;United States;2113
Milan;United States;1418
Newmarket;United States;5297
Tilton;United States;3612
Weare;United States;8583
Little Ferry;United States;10963
Old Tappan;United States;6016
River Vale;United States;9497
Riverdale;United States;4273
Shrewsbury;United States;3809
Voorhees;United States;29131
Amagansett;United States;1165
Bergen Beach;United States;13596
Clark Mills;United States;1905
Concord;United States;8857
East Elmhurst;United States;23150
Eden;United States;3516
Glen Oaks;United States;6655
Great River;United States;1489
Hawthorne;United States;4586
Hillside Lake;United States;1084
Holland;United States;1206
Huntington Bay;United States;1430
Hunts Point;United States;27204
Hurley;United States;3458
Inwood;United States;10082
Jamestown;United States;30075
Jericho;United States;13567
Kensington;United States;39120
Massapequa;United States;21685
Melrose Park;United States;2294
Middleport;United States;1788
Mineville;United States;1269
Myers Corner;United States;6790
New Hartford;United States;1844
New Springville;United States;20756
Perth;United States;3646
Peru;United States;1591
Pine Bush;United States;1780
Port Henry;United States;1148
Saugerties;United States;3903
South Fallsburg;United States;2870
South Nyack;United States;3535
Sparkill;United States;1565
Sparrow Bush;United States;2097
Springfield;United States;1312
Syracuse;United States;144142
Tupper Lake;United States;3577
West Point;United States;6763
Ballville;United States;2976
Bucyrus;United States;11916
Dresden;United States;1706
Hubbard;United States;7650
Hudson;United States;22437
Lake Mohawk;United States;1652
Minerva Park;United States;1318
Piqua;United States;20790
Portage Lakes;United States;6968
Reminderville;United States;3976
Toronto;United States;4882
Bath;United States;2667
Bessemer;United States;1072
Brownstown;United States;2816
Duncansville;United States;1204
Flourtown;United States;4538
Flying Hills;United States;2568
Foster Brook;United States;1251
Gilbertsville;United States;4832
Hawley;United States;1152
Hemlock Farms;United States;3271
Hyde Park;United States;2528
Jacksonwald;United States;3393
Johnstown;United States;19966
Laporte;United States;307
Matamoras;United States;2383
Nescopeck;United States;1552
New Castle;United States;22375
North Charleroi;United States;1282
Osceola Mills;United States;1105
Pitcairn;United States;3246
Roaring Spring;United States;2537
Seneca;United States;1065
Watsontown;United States;2320
Whitfield;United States;4733
Wyoming;United States;3044
Yardley;United States;2441
Cranston;United States;81073
Kingston;United States;6974
Warren;United States;11280
Platte;United States;1266
Webster;United States;1802
Wessington Springs;United States;919
Ferrisburgh;United States;2764
Milton;United States;1861
Williamstown;United States;1162
Bristol;United States;4951
Cato;United States;1546
Combined Locks;United States;3532
Darien;United States;1610
Delafield;United States;7180
Franksville;United States;1846
Greendale;United States;14333
Iola;United States;1273
Jefferson;United States;7941
Lake Delton;United States;2967
Milton;United States;5593
New Holstein;United States;3216
Niagara;United States;1587
Onalaska;United States;18468
Portland;United States;1065
Poynette;United States;2493
Richfield;United States;11530
Ripon;United States;7700
River Falls;United States;15269
Walworth;United States;2838
Wausau;United States;39094
Wind Point;United States;1710
Weirton;United States;19175
Three Rivers;United States;2890
Fort Defiance;United States;3624
Fortuna Foothills;United States;26265
Fountain Hills;United States;23899
Payson;United States;15345
Phoenix;United States;1608139
White Mountain Lake;United States;2205
Wickenburg;United States;6806
Williamson;United States;5438
Barstow Heights;United States;24202
Bridgeport;United States;575
Burlingame;United States;30459
Calipatria;United States;7424
Canyon Country;United States;59530
Carlsbad;United States;114746
Castroville;United States;6481
Cathedral City;United States;53826
Diamond Bar;United States;56897
Escondido;United States;151451
Idyllwild;United States;3583
Linden;United States;1784
Lucerne;United States;3443
Minkler;United States;1003
Montalvin;United States;2876
Orosi;United States;8770
Ramona;United States;20292
Sleepy Hollow;United States;2384
Thornton;United States;1131
Union City;United States;74494
West Sacramento;United States;52721
Yountville;United States;3017
Bennett;United States;2484
Fairplay;United States;681
Fraser;United States;1213
Pueblo West;United States;29637
Rocky Ford;United States;3827
Saint Francis;United States;1329
Columbus;United States;1625
Española;United States;10224
Moriarty;United States;1806
Mosquero;United States;93
Zuni Pueblo;United States;6302
Paradise;United States;223167
Spring Valley;United States;178395
Tonopah;United States;2478
Goodwell;United States;1326
Clarendon;United States;1944
Denver City;United States;4864
McCamey;United States;2062
Mentone;United States;19
Sanderson;United States;837
Stinnett;United States;1856
Castle Dale;United States;1550
Cedar City;United States;30184
Fountain Green;United States;1083
Gruver;United States;1190
Central Valley (historical);United States;4340
McCloud;United States;1101
Aristocrat Ranchettes;United States;1344
Brush;United States;5459
Milliken;United States;6388
Steamboat Springs;United States;12435
Dalton Gardens;United States;2386
Eagle;United States;23612
Rigby;United States;4029
Laurel;United States;6943
Somers;United States;1109
Townsend;United States;1959
Warm Springs;United States;3000
Chappell;United States;921
Gering;United States;8334
Boardman;United States;3354
Cannon Beach;United States;1702
Columbia City;United States;1958
Gervais;United States;2631
Glide;United States;1795
Grand Ronde;United States;1661
Pacific City;United States;1035
Mobridge;United States;3466
Murdo;United States;458
Oglala;United States;1290
Farmington;United States;22566
Kearns;United States;35731
Magna;United States;26505
Sandy Hills;United States;89575
Wendover;United States;1400
Burley;United States;2057
Central Park;United States;2685
Clarkston;United States;7317
Clearview;United States;3324
Leavenworth;United States;2002
Medical Lake;United States;4942
Okanogan;United States;2569
Purdy;United States;1544
Sedro-Woolley;United States;10815
Warden;United States;2736
West Valley;United States;12655
Yarrow Point;United States;1081
Yelm;United States;8434
Marbleton;United States;1090
Rafter J Ranch;United States;1075
Saratoga;United States;1677
Lā‘ie;United States;6138
Makawao;United States;7184
Hanamā‘ulu;United States;3835
Homer;United States;5515
Monterey Park;United States;1567
Rio Communities;United States;4723
Carmel Hamlet;United States;6817
Horseheads North;United States;2843
Suitland-Silver Hill;United States;33515
Level Park-Oak Park;United States;3409
Fort Pierce North;United States;6474
Vero Beach South;United States;23092
Zephyrhills South;United States;5276
Antelope Valley-Crestview;United States;1658
Gold Canyon;United States;10159
Royal Kunia;United States;14525
Monument Hills;United States;1542
Verona Walk;United States;1782
Smithville-Sanders;United States;3184
McConnell AFB;United States;1777
Marlboro Village;United States;9438
Southern Gateway;United States;2805
Prairie Heights;United States;4405
Patterson Tract;United States;1752
Woodlake;United States;7319
Clark-Fulton;United States;18185
Bridgewater;United States;44464
Twin Lakes;United States;1647
Sarandí Grande;Uruguay;6130
San Félix;Uruguay;1718
Colonia del Sacramento;Uruguay;21714
Denov;Uzbekistan;78300
Bulung’ur Shahri;Uzbekistan;29200
G’oliblar Qishlog’i;Uzbekistan;0
Urganch;Uzbekistan;145000
Rishton;Uzbekistan;0
Ohangaron;Uzbekistan;37784
Navoiy;Uzbekistan;144158
Manghit;Uzbekistan;33200
Bo‘ston Shahri;Uzbekistan;0
Biabou;Saint Vincent and the Grenadines;1050
Tinaquillo;Venezuela, Bolivarian Rep. of;115937
Santa Rosa;Venezuela, Bolivarian Rep. of;0
Santa Inés;Venezuela, Bolivarian Rep. of;0
Palmasola;Venezuela, Bolivarian Rep. of;0
Ortiz;Venezuela, Bolivarian Rep. of;0
Judibana;Venezuela, Bolivarian Rep. of;23182
Juan Griego;Venezuela, Bolivarian Rep. of;28256
Guarenas;Venezuela, Bolivarian Rep. of;248588
Farriar;Venezuela, Bolivarian Rep. of;0
San Rafael del Piñal;Venezuela, Bolivarian Rep. of;0
Curbatí;Venezuela, Bolivarian Rep. of;0
Araya;Venezuela, Bolivarian Rep. of;23693
La Fría;Venezuela, Bolivarian Rep. of;43331
Vĩnh Thuận;Viet Nam;0
Hòa Bình;Viet Nam;0
Talalaivka;Ukraine;5054
Stepnohirsk;Ukraine;4420
Stroyntsi;Ukraine;1547
Stara Vyzhivka;Ukraine;5058
Slavuta;Ukraine;35068
Skole;Ukraine;6491
Shelkovichnoye;Ukraine;1357
Shabo;Ukraine;7108
Serbychany;Ukraine;1570
Seliatyn;Ukraine;2380
Rusakovka;Ukraine;918
Rozdilna;Ukraine;17858
Romankivtsi;Ukraine;5066
Rohatyn;Ukraine;7797
Razdol’noye;Ukraine;7326
Pidvynohradiv;Ukraine;4206
Pochayiv;Ukraine;7691
Petrovka;Ukraine;6714
Petropavlivka;Ukraine;6944
Novyi Svit;Ukraine;9488
Novoyelizavetivka;Ukraine;1501
Novoselovskoye;Ukraine;3179
Novooleksiyivka;Ukraine;10154
Mostyska;Ukraine;16945
Morskoye;Ukraine;2394
Mirny;Ukraine;4209
Yantarnoye;Ukraine;2368
Lukiv;Ukraine;3043
Litvinenkovo;Ukraine;1439
Lypniazhka;Ukraine;4272
Lypetske;Ukraine;3740
Lenino;Ukraine;7426
Kushnytsia;Ukraine;4508
Kreminna;Ukraine;18116
Kozyryany;Ukraine;1005
Koreiz;Ukraine;5455
Knyazhichi;Ukraine;5207
Zrub-Komarivskyy;Ukraine;1451
Katiuzhanka;Ukraine;4046
Glazovka;Ukraine;1018
Frontovoye;Ukraine;1006
Demnya;Ukraine;1602
Dobre;Ukraine;1727
Cherlenivka;Ukraine;2236
Cherkasy;Ukraine;272651
Chaplynka;Ukraine;9687
Pozharskoye;Ukraine;1426
Brylivka;Ukraine;4252
Bereznyky;Ukraine;3055
Berezan;Ukraine;1186
Bilousivka;Ukraine;1274
Bazaryanka;Ukraine;1153
Azovskoye;Ukraine;3656
Antoniny;Ukraine;2157
Oleksiivka;Ukraine;1695
Andreyevka;Ukraine;1498
Verkhni Stanivtsi;Ukraine;1750
Kurskoye;Ukraine;1204
Razdol’noye;Ukraine;1008
Horenka;Ukraine;5358
Avanhard;Ukraine;5554
Kostychany;Ukraine;3450
Ntungamo;Uganda;16915
Nsika;Uganda;0
Kyegegwa;Uganda;0
Bweyogerere;Uganda;11473
Bushenyi;Uganda;0
Amolatar;Uganda;0
Kole;Uganda;0
Brent;United States;4898
Dadeville;United States;3150
Fairhope;United States;18730
Grove Hill;United States;1494
Harpersville;United States;1681
Pine Level;United States;4183
Rainbow City;United States;9580
Red Bay;United States;3131
Samson;United States;1928
Westover;United States;1473
Winfield;United States;4570
Atkins;United States;3051
Fayetteville;United States;82830
Lamar;United States;1668
Landmark;United States;3555
Marked Tree;United States;2501
Melbourne;United States;1779
Mulberry;United States;1634
Piney;United States;4699
Redfield;United States;1541
Smackover;United States;1782
Blades;United States;1354
North Star;United States;7980
Rehoboth Beach;United States;1458
Aventura;United States;37649
Baldwin;United States;1453
Bayshore Gardens;United States;16323
Belleair Beach;United States;1609
Bithlo;United States;8268
Boynton Beach;United States;73966
Callahan;United States;1185
Cantonment;United States;26493
Citrus Springs;United States;8622
Coconut Creek;United States;59302
Eastpoint;United States;2337
Fern Park;United States;7704
Fuller Heights;United States;8758
Holmes Beach;United States;4199
Indian Shores;United States;1470
Iona;United States;15369
Kings Point;United States;12201
Lake Magdalene;United States;28509
Lely;United States;3451
North Fort Myers;United States;39407
Port Richey;United States;2761
Port Saint Joe;United States;3445
South Highpoint;United States;5195
Stock Island;United States;3919
The Villages;United States;51442
Thonotosassa;United States;13014
Upper Grand Lagoon;United States;13963
Wekiwa Springs;United States;21998
Westchase;United States;21747
West Samoset;United States;5583
Westview;United States;9650
Blackshear;United States;3581
Dawson;United States;4353
Eatonton;United States;6520
Fayetteville;United States;16990
Knoxville;United States;69
Lithia Springs;United States;15491
Montezuma;United States;3189
Nahunta;United States;1060
Panthersville;United States;9749
Pearson;United States;2112
Rydal;United States;4087
Scottdale;United States;10631
Sunnyside;United States;1303
Winder;United States;15447
Collinsville;United States;24754
Edinburg;United States;1051
Golconda;United States;629
Jerome;United States;1651
Louisville;United States;1116
Norris City;United States;1247
Oblong;United States;1427
Taylorville;United States;10873
Virginia;United States;1516
French Lick;United States;1794
Greencastle;United States;10401
North Madison;United States;12435
Pendleton;United States;4219
Auburn;United States;1218
Clay Center;United States;4173
Ellinwood;United States;2066
Greensburg;United States;798
Hoisington;United States;2623
Oskaloosa;United States;1086
Ashland;United States;21108
Auburn;United States;1352
Bellevue;United States;5892
Cadiz;United States;2626
Calvert City;United States;2532
Earlington;United States;1395
Edmonton;United States;1568
Francisville;United States;7944
Junction City;United States;2283
Middlesboro;United States;10730
Monticello;United States;6103
Morehead;United States;7045
North Corbin;United States;1773
Saint Matthews;United States;17472
Saint Dennis;United States;9177
Arcadia;United States;2861
Eastwood;United States;4093
Natalbany;United States;2984
Edmonston;United States;1518
Green Valley;United States;12262
Highfield-Cascade;United States;1112
Huntingtown Town Center;United States;3311
Ocean City;United States;7055
Ocean Pines;United States;11710
Parkville;United States;30734
Scaggsville;United States;24333
Severn;United States;44231
Silver Spring;United States;71452
University Park;United States;2665
Belle;United States;1528
Chaffee;United States;2943
Dardenne Prairie;United States;12890
Duquesne;United States;1736
Grandview;United States;25256
Keytesville;United States;455
Maysville;United States;1094
North Kansas City;United States;4354
Saint Ann;United States;13020
Thayer;United States;2245
Webster Groves;United States;23177
Eupora;United States;2106
Hazlehurst;United States;3924
New Augusta;United States;641
Ridgeland;United States;24351
Brogden;United States;2633
Carrboro;United States;21156
Henderson;United States;15271
Hertford;United States;2148
Horse Shoe;United States;2351
Huntersville;United States;52704
Landis;United States;3116
Lucama;United States;1132
Swanquarter;United States;324
Tarboro;United States;11164
Berlin;United States;7590
Holiday Heights;United States;2099
Mullica Hill;United States;3982
Westville;United States;4224
